filename,doc_id,title,tenant,sensitivity,version,effective_date,superseded_by
Overdraft_Policy_v2.md,overdraft_policy_v2,Overdraft Policy,retail,public,2.0,2024-03-01,overdraft_policy_v3
Overdraft_Policy_v3_FINAL.md,overdraft_policy_v3,Overdraft Policy,retail,public,3.0,2026-01-01,
Card Dispute Procedure CS-PRO-031 rev5.docx,card_dispute_procedure,Card Dispute Procedure,retail,internal,Rev 5,2026-04-15,
Wire_Transfer_Policy_Rev2026-02.pdf,wire_transfer_policy,Wire Transfer Policy,retail,public,Rev 2026-02,2026-02-16,
PAY-WT-004 Wire Transfer Policy.docx,wire_transfer_policy_copy,Wire Transfer Policy,retail,public,Rev 2026-02,2026-02-16,
HCU_Fee_Schedule_2026.pdf,fee_schedule_2026,Schedule of Fees and Charges: Retail Accounts,retail,public,2026,2026-01-01,
Rate Sheet Q3 2026 - Deposits.pdf,deposit_rate_sheet_2026q3,Q3 2026 Deposit Rate Sheet,retail,public,Q3 2026,2026-07-01,
Auto_Loan_Product_Comparison_Sept2026.pdf,auto_loan_comparison,Auto Loan Product Comparison,retail,public,2026-09,2026-09-01,
Mortgage HELOC Rate Notice 09-2026.pdf,mortgage_heloc_rate_notice,Mortgage and Home Equity Rate Notice,retail,public,2026-09,2026-09-01,
faq.html,member_faq,Frequently Asked Questions,retail,public,,,
faq (1).html,member_faq_copy,Frequently Asked Questions,retail,public,,,
online-banking-help.html,online_banking_help,Mobile and Online Banking Help,retail,public,,,
Privacy_Notice_Rev01-2026.txt,privacy_notice,Privacy Notice,retail,public,Rev. 01/2026,2026-01-01,
Debit Card Limits and Controls.txt,debit_card_limits,Debit Card Limits and Controls,retail,public,,2026-02-02,
Loan_Late_Payment_and_Collections_Policy_v1.6.md,loan_late_payment_policy,Loan Late Payment and Collections Policy,retail,public,1.6,2026-05-01,
Account Closure Procedure v1.4.docx,account_closure_procedure,Account Closure Procedure,retail,internal,1.4,2026-06-01,
CC_Script_Lost_Stolen_Card_v2.2.md,lost_stolen_card_script,Contact Centre Script: Lost or Stolen Card,retail,internal,2.2,2026-03-03,
call_notes_export_2026-08.txt,call_notes_2026_08,"Contact Centre Call Notes, August 2026",retail,confidential,,2026-08-31,
FW_ RE_ Complaint - international wire delayed and fee.eml,complaint_email_export,Member Complaint Email Export,retail,confidential,,2026-08-25,
Savings Account Terms and Conditions.rtf,savings_terms,Savings Account Terms and Conditions,retail,public,DEP-TC-003,2026-01-01,
Harbor_Currents_Summer_2026.pdf,newsletter_summer_2026,"Harbor Currents Member Newsletter, Summer 2026",retail,public,Summer 2026,2026-06-15,
Business_Account_Fee_Guide_2026.md,business_fee_guide,Business Account Fee Guide,business,public,2026,2026-01-01,
RSK-FRD-009 Fraud Monitoring Thresholds v4.1.md,fraud_monitoring_thresholds,Fraud Monitoring Thresholds,retail,restricted,4.1,2026-07-01,
Holiday_Schedule_2026.txt,holiday_schedule_2026,2026 Holiday Schedule,retail,public,,2026-01-05,
branch_locations.csv,branch_locations,Branch Locations,retail,public,,,
Rate Sheet Q2 2026 - Deposits.pdf,rate_sheet_2026q2,Q2 2026 Deposit Rate Sheet,retail,public,Q2 2026,2026-04-01,
Share_Certificate_Disclosure_DEP-DSC-017.md,share_certificate_disclosure,Share Certificate Account Disclosure,retail,public,DEP-DSC-017,2026-07-01,
