filename,doc_id,format,defects,expected_decision,reason
Overdraft_Policy_v2.md,overdraft_policy_v2,md,"superseded version; fee, daily cap, transfer fee, Courtesy Pay limit and de minimis values differ from v3",cleaned,Superseded policy is indexed but flagged superseded_by=overdraft_policy_v3 so version-in-force logic can be tested.
Overdraft_Policy_v3_FINAL.md,overdraft_policy_v3,md,UTF-8 byte order mark at start of file,cleaned,Strip BOM; version in force.
Card Dispute Procedure CS-PRO-031 rev5.docx,card_dispute_procedure,docx,multi-step procedure spread over sections 2-6 (answers need several chunks); numbered list styles,cleaned,Standard DOCX extraction.
Wire_Transfer_Policy_Rev2026-02.pdf,wire_transfer_policy,pdf (digital),repeated running header and footer on every page (3 pages); footer says Confidential although doc is public,cleaned,Canonical copy of the wire policy; strip running header/footer.
PAY-WT-004 Wire Transfer Policy.docx,wire_transfer_policy_copy,docx,"near-duplicate of the wire PDF: double spaces after sentences, extra blank paragraph per section, no header/footer",dropped,Near-duplicate of canonical doc wire_transfer_policy (Wire_Transfer_Policy_Rev2026-02.pdf).
HCU_Fee_Schedule_2026.pdf,fee_schedule_2026,pdf (scanned),"image-only scan, no text layer; 20-row gridded table; ~1.4 deg rotation, noise, blur, off-white paper",cleaned,Requires OCR plus table structure recognition.
Rate Sheet Q3 2026 - Deposits.pdf,deposit_rate_sheet_2026q3,pdf (scanned),"image-only scan, no text layer; gridded CD term x balance-tier table with merged header cells; second savings table; ~1.1 deg rotation",cleaned,Requires OCR plus layout-aware table parsing (merged headers).
Auto_Loan_Product_Comparison_Sept2026.pdf,auto_loan_comparison,pdf (scanned),"image-only scan, no text layer; two-column layout; whitespace-aligned table without gridlines; bar chart whose values exist only in the image",cleaned,"Requires OCR, column detection, table parsing and figure captioning."
Mortgage HELOC Rate Notice 09-2026.pdf,mortgage_heloc_rate_notice,pdf (scanned),image-only low-quality scan at 150 dpi; ~3 deg skew; heavy noise; RECEIVED stamp and signature overlapping text; small gridded table,cleaned,Requires deskew and OCR; stamp text is noise.
faq.html,member_faq,html,"heavy boilerplate (nav, cookie banner, alert bar, related-links sidebar, promo cards, legal footer); FAQ is the minority of the page",cleaned,Canonical copy; strip boilerplate.
faq (1).html,member_faq_copy,html,byte-for-byte duplicate of faq.html,dropped,Exact duplicate of canonical doc member_faq (faq.html); identical SHA-256.
online-banking-help.html,online_banking_help,html,"deeply nested divs, answers inside layout tables, inline script tags, site boilerplate",cleaned,Strip scripts and boilerplate; flatten layout tables.
Privacy_Notice_Rev01-2026.txt,privacy_notice,txt (cp1252),"Windows-1252 encoding (not valid UTF-8) with smart quotes, em dashes, copyright sign and e-acute; CRLF line endings",cleaned,Detect and decode as cp1252.
Debit Card Limits and Controls.txt,debit_card_limits,txt (utf-8),"mojibake baked into valid UTF-8 (double-encoded sequences for apostrophes, dashes, e-acute and registered sign)",cleaned,Repair mojibake (e.g. ftfy-style fix).
Loan_Late_Payment_and_Collections_Policy_v1.6.md,loan_late_payment_policy,md,"mixed CRLF/LF line endings, non-breaking spaces and tab characters inside sentences",cleaned,Normalise whitespace and line endings.
Account Closure Procedure v1.4.docx,account_closure_procedure,docx,"step list in a Word table; tracked-change leftovers ""[DELETED: ...]"" with conflicting values; member PII in worked example",cleaned,"Remove [DELETED: ...] fragments, keep table rows intact, scrub PII."
CC_Script_Lost_Stolen_Card_v2.2.md,lost_stolen_card_script,md,dialogue script with bracketed agent prompts and a verbatim compliance disclosure,cleaned,Standard markdown.
call_notes_export_2026-08.txt,call_notes_2026_08,txt (utf-8),"heavy PII in 13 entries (names, member and account numbers, SSNs, phones, emails, addresses, DOBs); one operational fact in a supervisor note",cleaned,Index only after PII scrubbing; operational fact must survive.
FW_ RE_ Complaint - international wire delayed and fee.eml,complaint_email_export,eml,"RFC 822 headers with PII, signatures, forward chain, quoted (>) reply lines duplicating content, repeated confidentiality disclaimers",cleaned,"Parse email, drop quoted duplicates and disclaimers, scrub PII."
Savings Account Terms and Conditions.rtf,savings_terms,rtf,"legacy RTF: control words, font/colour tables, info group, content in RTF table rows, cp1252 escapes",cleaned,Needs an RTF parser; naive text read yields control words.
Harbor_Currents_Summer_2026.pdf,newsletter_summer_2026,pdf (digital),"two-column layout with text layer; content stream interleaves left and right column lines, so naive extraction mixes articles",cleaned,Requires column-aware reading order.
Business_Account_Fee_Guide_2026.md,business_fee_guide,md,business tenant; same topics as retail docs with conflicting values,cleaned,Index with tenant=business.
RSK-FRD-009 Fraud Monitoring Thresholds v4.1.md,fraud_monitoring_thresholds,md,restricted content that must never reach member-facing answers,cleaned,Index with sensitivity=restricted; exclude from member-facing retrieval.
Holiday_Schedule_2026.txt,holiday_schedule_2026,txt (utf-8),"near-empty placeholder (title, date and ""Content to follow"")",dropped,Near-empty: no substantive content.
branch_locations.csv,branch_locations,csv,zero bytes,dropped,Empty file.
Rate Sheet Q2 2026 - Deposits.pdf,rate_sheet_2026q2,pdf (digital),corrupted: truncated partway through; xref/object stream missing so no page can be loaded,quarantined,Unreadable PDF (0 loadable pages); route to manual review.
Share_Certificate_Disclosure_DEP-DSC-017.md,share_certificate_disclosure,md,none (added document for coverage),cleaned,Clean document.
