doc_id,filename,title,tenant,sensitivity,version,effective_date,superseded_by
overdraft_policy_v2,Overdraft_Policy_v2.md,Overdraft Policy,retail,public,2.0,2024-03-01,overdraft_policy_v3
overdraft_policy_v3,Overdraft_Policy_v3_FINAL.md,Overdraft Policy,retail,public,3.0,2026-01-01,
card_dispute_procedure,Card Dispute Procedure CS-PRO-031 rev5.docx,Card Dispute Procedure,retail,internal,Rev 5,2026-04-15,
wire_transfer_policy,Wire_Transfer_Policy_Rev2026-02.pdf,Wire Transfer Policy,retail,public,Rev 2026-02,2026-02-16,
wire_transfer_policy_copy,PAY-WT-004 Wire Transfer Policy.docx,Wire Transfer Policy,retail,public,Rev 2026-02,2026-02-16,
fee_schedule_2026,HCU_Fee_Schedule_2026.pdf,Schedule of Fees and Charges: Retail Accounts,retail,public,2026,2026-01-01,
deposit_rate_sheet_2026q3,Rate Sheet Q3 2026 - Deposits.pdf,Q3 2026 Deposit Rate Sheet,retail,public,Q3 2026,2026-07-01,
auto_loan_comparison,Auto_Loan_Product_Comparison_Sept2026.pdf,Auto Loan Product Comparison,retail,public,2026-09,2026-09-01,
mortgage_heloc_rate_notice,Mortgage HELOC Rate Notice 09-2026.pdf,Mortgage and Home Equity Rate Notice,retail,public,2026-09,2026-09-01,
member_faq,faq.html,Frequently Asked Questions,retail,public,,,
member_faq_copy,faq (1).html,Frequently Asked Questions,retail,public,,,
online_banking_help,online-banking-help.html,Mobile and Online Banking Help,retail,public,,,
privacy_notice,Privacy_Notice_Rev01-2026.txt,Privacy Notice,retail,public,Rev. 01/2026,2026-01-01,
debit_card_limits,Debit Card Limits and Controls.txt,Debit Card Limits and Controls,retail,public,,2026-02-02,
loan_late_payment_policy,Loan_Late_Payment_and_Collections_Policy_v1.6.md,Loan Late Payment and Collections Policy,retail,public,1.6,2026-05-01,
account_closure_procedure,Account Closure Procedure v1.4.docx,Account Closure Procedure,retail,internal,1.4,2026-06-01,
lost_stolen_card_script,CC_Script_Lost_Stolen_Card_v2.2.md,Contact Centre Script: Lost or Stolen Card,retail,internal,2.2,2026-03-03,
call_notes_2026_08,call_notes_export_2026-08.txt,"Contact Centre Call Notes, August 2026",retail,confidential,,2026-08-31,
complaint_email_export,FW_ RE_ Complaint - international wire delayed and fee.eml,Member Complaint Email Export,retail,confidential,,2026-08-25,
savings_terms,Savings Account Terms and Conditions.rtf,Savings Account Terms and Conditions,retail,public,DEP-TC-003,2026-01-01,
newsletter_summer_2026,Harbor_Currents_Summer_2026.pdf,"Harbor Currents Member Newsletter, Summer 2026",retail,public,Summer 2026,2026-06-15,
business_fee_guide,Business_Account_Fee_Guide_2026.md,Business Account Fee Guide,business,public,2026,2026-01-01,
fraud_monitoring_thresholds,RSK-FRD-009 Fraud Monitoring Thresholds v4.1.md,Fraud Monitoring Thresholds,retail,restricted,4.1,2026-07-01,
holiday_schedule_2026,Holiday_Schedule_2026.txt,2026 Holiday Schedule,retail,public,,2026-01-05,
branch_locations,branch_locations.csv,Branch Locations,retail,public,,,
rate_sheet_2026q2,Rate Sheet Q2 2026 - Deposits.pdf,Q2 2026 Deposit Rate Sheet,retail,public,Q2 2026,2026-04-01,
share_certificate_disclosure,Share_Certificate_Disclosure_DEP-DSC-017.md,Share Certificate Account Disclosure,retail,public,DEP-DSC-017,2026-07-01,
